Date;Time;Serial no.;Vmeasure0;Imeasure0;Vmeasure1;Imeasure1;Vmeasure2;Imeasure2;Vmeasure3;Imeasure3;Vmeasure4;Imeasure4;Vmeasure5;Imeasure5;Vmeasure6;Imeasure6;Vmeasure7;Imeasure7;Temperature
2015-06-17;16:25:26.179;720510;27.6287;3.334e-07;0.187974;3.34691e-09;0.160025;3.48333e-09;0.17957;4.01901e-09;0.181037;4.52194e-09;0.0480033;3.2217e-09;0.18156;3.28495e-09;0.227846;3.95542e-09;31.0
2015-06-17;16:25:26.787;720510;33.2347;3.3894e-07;0.187974;3.34745e-09;0.160025;3.4814e-09;0.17957;4.01886e-09;0.181037;4.52214e-09;0.0480033;3.22415e-09;0.18156;3.28424e-09;0.227846;3.95767e-09;31.0
2015-06-17;16:25:27.400;720510;40;3.33836e-07;0.187974;3.34842e-09;0.160025;3.4808e-09;0.17957;4.01947e-09;0.181037;4.51982e-09;0.0480033;3.22363e-09;0.18156;3.28341e-09;0.227846;3.95871e-09;31.0
2015-06-17;16:25:28.262;720510;47.5925;3.46086e-07;0.187974;3.34531e-09;0.160025;3.48008e-09;0.17957;4.02061e-09;0.181037;4.51788e-09;0.0480033;3.22429e-09;0.18156;3.28368e-09;0.227846;3.95895e-09;31.0
2015-06-17;16:25:28.926;720510;55.19;3.438e-07;0.187974;3.34501e-09;0.160025;3.47915e-09;0.17957;4.02278e-09;0.181037;4.51869e-09;0.0480033;3.22407e-09;0.18156;3.28236e-09;0.227846;3.96005e-09;31.0
2015-06-17;16:25:29.432;720510;59.784;3.41601e-07;0.187974;3.34504e-09;0.160025;3.48106e-09;0.17957;4.02248e-09;0.181037;4.51679e-09;0.0480033;3.22306e-09;0.18156;3.28214e-09;0.227846;3.95955e-09;31.0
2015-06-17;16:25:30.037;720510;66.5818;3.52246e-07;0.187974;3.34415e-09;0.160025;3.48263e-09;0.17957;4.02348e-09;0.181037;4.51717e-09;0.0480033;3.22338e-09;0.18156;3.28291e-09;0.227846;3.95775e-09;31.0
2015-06-17;16:25:30.639;720510;72.1682;3.49913e-07;0.187974;3.3451e-09;0.160025;3.48425e-09;0.17957;4.02464e-09;0.181037;4.519e-09;0.0480033;3.22288e-09;0.18156;3.28429e-09;0.227846;3.95894e-09;31.0
2015-06-17;16:25:31.251;720510;77.9781;3.54469e-07;0.187974;3.34404e-09;0.160025;3.4877e-09;0.17957;4.02377e-09;0.181037;4.51775e-09;0.0480033;3.22283e-09;0.18156;3.2847e-09;0.227846;3.96e-09;31.0
2015-06-17;16:25:31.868;720510;84.5855;3.51333e-07;0.187974;3.34313e-09;0.160025;3.48974e-09;0.17957;4.02282e-09;0.181037;4.51999e-09;0.0480033;3.22597e-09;0.18156;3.28679e-09;0.227846;3.95833e-09;31.0
2015-06-17;16:25:32.467;720510;89.3903;3.5392e-07;0.187974;3.34449e-09;0.160025;3.49166e-09;0.17957;4.02287e-09;0.181037;4.52073e-09;0.0480033;3.22737e-09;0.18156;3.28775e-09;0.227846;3.95938e-09;31.0
2015-06-17;16:25:33.085;720510;96.9958;3.56691e-07;0.187974;3.34515e-09;0.160025;3.49031e-09;0.17957;4.02218e-09;0.181037;4.52011e-09;0.0480033;3.2265e-09;0.18156;3.28691e-09;0.227846;3.95886e-09;31.0
2015-06-17;16:25:33.929;720510;104.585;3.56143e-07;0.187974;3.34518e-09;0.160025;3.48779e-09;0.17957;4.02111e-09;0.181037;4.52289e-09;0.0480033;3.22822e-09;0.18156;3.28675e-09;0.227846;3.9587e-09;31.0
2015-06-17;16:25:34.585;720510;112.167;3.56811e-07;0.187974;3.34514e-09;0.160025;3.48681e-09;0.17957;4.02187e-09;0.181037;4.52221e-09;0.0480033;3.22933e-09;0.18156;3.28562e-09;0.227846;3.95934e-09;31.0
2015-06-17;16:25:35.112;720510;116.759;3.59495e-07;0.187974;3.34411e-09;0.160025;3.48401e-09;0.17957;4.02038e-09;0.181037;4.52151e-09;0.0480033;3.22891e-09;0.18156;3.28473e-09;0.227846;3.95876e-09;31.0
2015-06-17;16:25:35.711;720510;122.357;3.59226e-07;0.187974;3.34459e-09;0.160025;3.48021e-09;0.17957;4.02171e-09;0.181037;4.52177e-09;0.0480033;3.23023e-09;0.18156;3.28581e-09;0.227846;3.96109e-09;31.0
2015-06-17;16:25:36.328;720510;128.147;3.60917e-07;0.187974;3.34579e-09;0.160025;3.48005e-09;0.17957;4.02149e-09;0.181037;4.52154e-09;0.0480033;3.22978e-09;0.18156;3.28405e-09;0.227846;3.96217e-09;31.0
2015-06-17;16:25:36.937;720510;134.735;3.56663e-07;0.187974;3.34531e-09;0.160025;3.48114e-09;0.17957;4.02134e-09;0.181037;4.51982e-09;0.0480033;3.22886e-09;0.18156;3.28594e-09;0.227846;3.96114e-09;31.0
2015-06-17;16:25:37.538;720510;140.537;3.61306e-07;0.187974;3.34578e-09;0.160025;3.47862e-09;0.17957;4.02112e-09;0.181037;4.52186e-09;0.0480033;3.23014e-09;0.18156;3.28506e-09;0.227846;3.96186e-09;31.0
2015-06-17;16:25:38.146;720510;147.141;3.62021e-07;0.187974;3.34528e-09;0.160025;3.47815e-09;0.17957;4.02122e-09;0.181037;4.52021e-09;0.0480033;3.22934e-09;0.18156;3.28326e-09;0.227846;3.96242e-09;31.0
2015-06-17;16:25:38.751;720510;151.945;3.64695e-07;0.187974;3.34215e-09;0.160025;3.47839e-09;0.17957;4.02091e-09;0.181037;4.52027e-09;0.0480033;3.2283e-09;0.18156;3.2823e-09;0.227846;3.96034e-09;31.0
2015-06-17;16:25:39.594;720510;161.354;3.63258e-07;0.187974;3.34266e-09;0.160025;3.47847e-09;0.17957;4.02184e-09;0.181037;4.52049e-09;0.0480033;3.22972e-09;0.18156;3.28394e-09;0.227846;3.96108e-09;31.0
2015-06-17;16:25:40.256;720510;167.139;3.61012e-07;0.187974;3.34301e-09;0.160025;3.48143e-09;0.17957;4.01966e-09;0.181037;4.52231e-09;0.0480033;3.22875e-09;0.18156;3.28626e-09;0.227846;3.95854e-09;31.0
2015-06-17;16:25:40.778;720510;172.741;3.66735e-07;0.187974;3.34218e-09;0.160025;3.48222e-09;0.17957;4.01935e-09;0.181037;4.52414e-09;0.0480033;3.22884e-09;0.18156;3.28629e-09;0.227846;3.95701e-09;31.0
2015-06-17;16:25:41.388;720510;178.53;3.60464e-07;0.187974;3.34307e-09;0.160025;3.48342e-09;0.17957;4.01824e-09;0.181037;4.52539e-09;0.0480033;3.2298e-09;0.18156;3.28828e-09;0.227846;3.95742e-09;31.0
2015-06-17;16:25:42.007;720510;185.133;3.61131e-07;0.187974;3.344e-09;0.160025;3.48494e-09;0.17957;4.01923e-09;0.181037;4.52497e-09;0.0480033;3.22839e-09;0.18156;3.28988e-09;0.227846;3.95837e-09;31.0
2015-06-17;16:25:42.606;720510;191.725;3.57862e-07;0.187974;3.34383e-09;0.160025;3.48639e-09;0.17957;4.01985e-09;0.181037;4.52758e-09;0.0480033;3.22817e-09;0.18156;3.2894e-09;0.227846;3.95747e-09;31.0
2015-06-17;16:25:43.215;720510;197.523;3.66442e-07;0.187974;3.34511e-09;0.160025;3.48496e-09;0.17957;4.0198e-09;0.181037;4.52926e-09;0.0480033;3.22885e-09;0.18156;3.29016e-09;0.227846;3.95945e-09;31.0
