
Date;Time;Serial no.;Vmeasure0;Imeasure0;Vmeasure1;Imeasure1;Vmeasure2;Imeasure2;Vmeasure3;Imeasure3;Vmeasure4;Imeasure4;Vmeasure5;Imeasure5;Vmeasure6;Imeasure6;Vmeasure7;Imeasure7;Temperature
2015-06-17;11:15:41.125;720510;1,400;1.17549e-38;0.187974;3.33985e-09;1,400;1.17549e-38;0.17957;4.004e-09;1,400;1.17549e-38;0.0480033;3.21918e-09;1,400;1.17549e-38;0.227846;3.933e-09;31.0
2015-06-17;11:15:41.734;720510;1,400;1.17549e-38;0.187974;3.34019e-09;1,400;1.17549e-38;0.17957;4.00437e-09;1,400;5.77638e-12;0.0480033;3.21876e-09;1,400;1.17549e-38;0.227846;3.93188e-09;31.0
2015-06-17;11:15:42.339;720510;1,400;1.17549e-38;0.187974;3.33936e-09;1,400;1.17549e-38;0.17957;4.00303e-09;1,400;1.17549e-38;0.0480033;3.21842e-09;1,400;1.17549e-38;0.227846;3.93127e-09;31.0
2015-06-17;11:15:42.952;720510;1,400;1.17549e-38;0.187974;3.33997e-09;1,400.01;1.17549e-38;0.17957;4.00162e-09;1,400;1.17549e-38;0.0480033;3.21907e-09;1,400;1.17549e-38;0.227846;3.9323e-09;31.0
2015-06-17;11:15:43.567;720510;1,400;1.17549e-38;0.187974;3.34038e-09;1,400.01;1.17549e-38;0.17957;4.00092e-09;1,400;1.17549e-38;0.0480033;3.21768e-09;1,400;1.17549e-38;0.227846;3.93176e-09;31.0
2015-06-17;11:15:44.167;720510;1,400;1.17549e-38;0.187974;3.33967e-09;1,400.01;1.17549e-38;0.17957;4.00205e-09;1,400;1.17549e-38;0.0480033;3.21787e-09;1,400;1.17549e-38;0.227846;3.93274e-09;31.0
2015-06-17;11:15:45.012;720510;1,400;1.17549e-38;0.187974;3.34082e-09;1,400.01;1.17549e-38;0.17957;4.00202e-09;1,400;1.17549e-38;0.0480033;3.21639e-09;1,400;1.17549e-38;0.227846;3.93377e-09;31.0
2015-06-17;11:15:46.144;720510;1,400;1.17549e-38;0.187974;3.3429e-09;1,400.01;1.17549e-38;0.17957;4.00145e-09;1,400;1.17549e-38;0.0480033;3.21653e-09;1,400;1.17549e-38;0.227846;3.93199e-09;31.0
2015-06-17;11:15:46.807;720510;1,400;1.17549e-38;0.187974;3.34326e-09;1,400.01;1.17549e-38;0.17957;4.00431e-09;1,400;1.17549e-38;0.0480033;3.2176e-09;1,400;1.17549e-38;0.227846;3.93179e-09;31.0
2015-06-17;11:15:47.411;720510;1,400;1.17549e-38;0.187974;3.34361e-09;1,400.01;1.17549e-38;0.17957;4.00353e-09;1,400;1.17549e-38;0.0480033;3.21655e-09;1,400;1.17549e-38;0.227846;3.93163e-09;31.0
2015-06-17;11:15:48.020;720510;1,400;1.17549e-38;0.187974;3.34227e-09;1,400;1.17549e-38;0.17957;4.00239e-09;1,400;1.17549e-38;0.0480033;3.21589e-09;1,400;1.17549e-38;0.227846;3.93218e-09;31.0
2015-06-17;11:15:48.638;720510;1,400;1.17549e-38;0.187974;3.3407e-09;1,400;1.17549e-38;0.17957;4.004e-09;1,399.99;1.17549e-38;0.0480033;3.21617e-09;1,400;1.17549e-38;0.227846;3.93197e-09;31.0
